代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,卖出信号,卖出原因,市场状态,股票池
000739,普洛药业,化学制药,20160902,7.89,20161027,7.95,1300,65.2,0.77%,55,Top Rank,BULL rank exit (50.7%),BULL rank exit (50.7%),BULL,csi500
000009,中国宝安,电气设备,20161011,14.55,20161028,14.2,400,-148.4,-2.42%,17,Top Rank,BULL rank exit (48.6%),BULL rank exit (48.6%),BULL,csi500
601099,太平洋,证券,20160714,7.39,20161031,8.75,500,677.3,18.49%,109,Top Rank,BULL rank exit (70.5%),BULL rank exit (70.5%),BULL,csi500
000921,海信家电,家用电器,20160926,11.21,20161102,11.55,400,128.4,3.00%,37,Top Rank,BULL rank exit (45.5%),BULL rank exit (45.5%),BULL,csi500
600339,中油工程,石油开采,20160926,6.23,20161103,6.28,1000,41.8,0.80%,38,Top Rank,BULL rank exit (53.7%),BULL rank exit (53.7%),BULL,csi500
600582,天地科技,专用机械,20161024,9.77,20161103,9.33,400,-181.8,-4.53%,10,Top Rank,BULL rank exit (78.7%),BULL rank exit (78.7%),BULL,csi500
600062,华润双鹤,化学制药,20161024,23.17,20161103,24.12,100,91.7,4.09%,10,Top Rank,BULL rank exit (62.9%),BULL rank exit (62.9%),BULL,csi500
002273,水晶光电,元器件,20160727,36.34,20161104,35.42,100,-96.4,-2.53%,100,Top Rank,BULL rank exit (52.2%),BULL rank exit (52.2%),BULL,csi500
002773,康弘药业,化学制药,20161025,85.16,20161104,83.13,100,-213.8,-2.38%,10,Top Rank,BULL rank exit (83.4%),BULL rank exit (83.4%),BULL,csi500
000830,鲁西化工,化工原料,20161025,5.08,20161104,5.23,1600,229.1,2.95%,10,Top Rank,BULL rank exit (96.2%),BULL rank exit (96.2%),BULL,csi500
002423,中粮资本,多元金融,20161028,11.43,20161107,11.55,1200,126.0,1.05%,10,Top Rank,BULL rank exit (73.0%),BULL rank exit (73.0%),BULL,csi500
600295,鄂尔多斯,特种钢,20160909,9.16,20161108,9.76,400,236.5,6.59%,60,Top Rank,BULL rank exit (47.8%),BULL rank exit (47.8%),BULL,csi500
