代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
603885,吉祥航空,空运,20220706,16.7,20220725,16.32,100,-119.3,-2.28%,19,Rank 3.42%,"Rank 3.42%, Score 0.0218, BULL",BULL rank exit (63.0%),BULL rank exit (63.0%),BULL,csi500
300748,金力永磁,矿物制品,20220707,42.76,20220725,45.33,100,409.9,6.01%,18,Rank 1.08%,"Rank 1.08%, Score 0.0270, BULL",BULL rank exit (70.3%),BULL rank exit (70.3%),BULL,csi500
002583,海能达,通信设备,20220629,4.93,20220726,5.15,100,120.2,4.46%,27,Rank 3.80%,"Rank 3.80%, Score 0.0148, BULL",BULL rank exit (37.1%),BULL rank exit (37.1%),BULL,csi500
002487,大金重工,电气设备,20220505,21.29,20220729,45.51,200,22336.1,113.85%,85,Rank 0.73%,"Rank 0.73%, Score 0.0595, BEAR",BULL trailing stop (18.7%),BULL trailing stop (18.7%),BULL,csi500
002607,中公教育,文教休闲,20220713,5.3,20220801,5.05,100,-211.5,-4.72%,19,Rank 4.50%,"Rank 4.50%, Score 0.0205, BULL",BULL rank exit (61.7%),BULL rank exit (61.7%),BULL,csi500
000709,河钢股份,普钢,20220714,3.03,20220801,2.79,200,-321.5,-4.90%,18,Rank 0.18%,"Rank 0.18%, Score 0.0628, BULL",BULL rank exit (91.6%),BULL rank exit (91.6%),BULL,csi500
688266,泽璟制药-U,生物制药,20220715,33.72,20220802,33.4,100,-36.3,-0.95%,18,Rank 2.87%,"Rank 2.87%, Score 0.0191, BULL",BULL rank exit (48.3%),BULL rank exit (48.3%),BULL,csi500
300765,新诺威,食品,20220711,16.3,20220803,14.67,100,-459.1,-10.00%,23,Rank 2.34%,"Rank 2.34%, Score 0.0229, BULL",BULL Hard stop (-10.0%),BULL Hard stop (-10.0%),BULL,csi500
688676,金盘科技,电气设备,20220427,14.0,20220804,31.88,1300,23965.1,130.41%,99,Rank 0.36%,"Rank 0.36%, Score 0.1386, BEAR",BULL trailing stop (18.3%),BULL trailing stop (18.3%),BULL,csi500
601155,新城控股,区域地产,20220715,21.22,20220804,18.8,100,-386.2,-11.40%,20,Rank 2.69%,"Rank 2.69%, Score 0.0193, BULL",BULL Hard stop (-11.4%),BULL Hard stop (-11.4%),BULL,csi500
688180,君实生物-U,生物制药,20220719,65.19,20220804,58.25,100,-701.6,-10.65%,16,Rank 0.36%,"Rank 0.36%, Score 0.0408, BULL",BULL Hard stop (-10.6%),BULL Hard stop (-10.6%),BULL,csi500
688276,百克生物,生物制药,20220718,57.65,20220805,64.93,100,720.8,12.63%,18,Rank 0.36%,"Rank 0.36%, Score 0.0411, BULL",BULL rank exit (96.8%),BULL rank exit (96.8%),BULL,csi500
601231,环旭电子,元器件,20220718,15.89,20220805,18.12,100,503.1,14.03%,18,Rank 2.87%,"Rank 2.87%, Score 0.0241, BULL",BULL rank exit (87.1%),BULL rank exit (87.1%),BULL,csi500
688248,南网科技,电气设备,20220708,25.42,20220808,34.54,200,1820.8,35.88%,31,Rank 1.08%,"Rank 1.08%, Score 0.0231, BULL",BULL trailing stop (23.2%),BULL trailing stop (23.2%),BULL,csi500
603712,七一二,通信设备,20220719,28.31,20220808,30.81,200,498.1,8.83%,20,Rank 2.15%,"Rank 2.15%, Score 0.0209, BULL",BULL rank exit (37.0%),BULL rank exit (37.0%),BULL,csi500
002203,海亮股份,铜,20220719,12.01,20220808,11.94,100,-32.4,-0.58%,20,Rank 2.51%,"Rank 2.51%, Score 0.0202, BULL",BULL rank exit (79.1%),BULL rank exit (79.1%),BULL,csi500
002531,天顺风能,电气设备,20220610,13.5,20220809,16.6,200,5157.8,23.56%,60,Rank 0.54%,"Rank 0.54%, Score 0.0295, BEAR",BEAR trailing stop (13.7%),BEAR trailing stop (13.7%),BEAR,csi500
