代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
601236,红塔证券,证券,20250515,8.54,20250526,8.35,2300,-470.5,-2.27%,11,Rank 0.94%,"Rank 0.94%, Score 0.0370, BEAR",BEAR rank exit (29.1%),BEAR rank exit (29.1%),BEAR,csi300
600039,四川路桥,建筑工程,20250523,9.28,20250605,9.46,2000,337.0,1.95%,13,Rank 0.63%,"Rank 0.63%, Score 0.0459, BEAR",BULL rank exit (41.1%),BULL rank exit (41.1%),BULL,csi300
002271,东方雨虹,其他建材,20250529,11.86,20250609,11.91,200,7.6,0.45%,11,Rank 4.43%,"Rank 4.43%, Score 0.0129, BULL",BULL rank exit (41.5%),BULL rank exit (41.5%),BULL,csi300
688303,大全能源,电气设备,20250528,19.09,20250611,19.26,100,14.5,0.89%,14,Rank 3.48%,"Rank 3.48%, Score 0.0198, BULL",BULL rank exit (75.5%),BULL rank exit (75.5%),BULL,csi300
600741,华域汽车,汽车配件,20250528,17.86,20250612,18.12,100,23.6,1.46%,15,Rank 2.85%,"Rank 2.85%, Score 0.0201, BULL",BULL rank exit (50.3%),BULL rank exit (50.3%),BULL,csi300
601009,南京银行,银行,20250528,11.72,20250612,12.1,100,36.7,3.27%,15,Rank 3.80%,"Rank 3.80%, Score 0.0191, BULL",BULL rank exit (62.6%),BULL rank exit (62.6%),BULL,csi300
601238,广汽集团,汽车整车,20250526,7.88,20250613,7.73,2400,-385.5,-1.91%,18,Rank 1.90%,"Rank 1.90%, Score 0.0336, BEAR",BULL rank exit (48.1%),BULL rank exit (48.1%),BULL,csi300
000807,云铝股份,铝,20250606,14.71,20250616,15.55,300,245.9,5.71%,10,Rank 3.48%,"Rank 3.48%, Score 0.0141, BULL",BULL rank exit (53.8%),BULL rank exit (53.8%),BULL,csi300
601788,光大证券,证券,20250605,18.25,20250617,18.01,200,-52.9,-1.32%,12,Rank 4.11%,"Rank 4.11%, Score 0.0181, BULL",BULL rank exit (55.7%),BULL rank exit (55.7%),BULL,csi300
600196,复星医药,化学制药,20250530,25.37,20250618,24.9,100,-50.2,-1.85%,19,Rank 3.80%,"Rank 3.80%, Score 0.0153, BULL",BULL rank exit (50.9%),BULL rank exit (50.9%),BULL,csi300
601229,上海银行,银行,20250528,10.92,20250620,11.6,200,133.8,6.27%,23,Rank 1.90%,"Rank 1.90%, Score 0.0234, BULL",BULL rank exit (41.8%),BULL rank exit (41.8%),BULL,csi300
600346,恒力石化,石油加工,20250603,15.03,20250620,14.54,100,-50.5,-3.23%,17,Rank 3.80%,"Rank 3.80%, Score 0.0198, BULL",BULL rank exit (55.7%),BULL rank exit (55.7%),BULL,csi300
002422,科伦药业,化学制药,20250605,38.05,20250620,34.7,100,-339.3,-8.80%,15,Rank 4.75%,"Rank 4.75%, Score 0.0169, BULL",BULL Hard stop (-8.8%),BULL Hard stop (-8.8%),BULL,csi300
002709,天赐材料,化工原料,20250610,17.42,20250623,17.04,300,-118.3,-2.14%,13,Rank 4.72%,"Rank 4.72%, Score 0.0152, BULL",BULL rank exit (47.5%),BULL rank exit (47.5%),BULL,csi300
601319,中国人保,保险,20250611,8.47,20250623,8.72,500,115.4,2.86%,12,Rank 2.20%,"Rank 2.20%, Score 0.0216, BULL",BULL rank exit (58.5%),BULL rank exit (58.5%),BULL,csi300
600161,天坛生物,生物制药,20250606,20.15,20250624,19.38,200,-158.8,-3.82%,18,Rank 4.11%,"Rank 4.11%, Score 0.0133, BULL",BULL rank exit (55.7%),BULL rank exit (55.7%),BULL,csi300
600938,中国海油,石油开采,20250612,27.5,20250624,26.78,100,-75.2,-2.61%,12,Rank 1.26%,"Rank 1.26%, Score 0.0288, BULL",BULL rank exit (58.5%),BULL rank exit (58.5%),BULL,csi300
601377,兴业证券,证券,20250612,6.19,20250630,6.22,400,8.8,0.49%,18,Rank 3.14%,"Rank 3.14%, Score 0.0146, BULL",BULL rank exit (54.1%),BULL rank exit (54.1%),BULL,csi300
002236,大华股份,IT设备,20250620,15.65,20250630,16.35,100,67.9,4.47%,10,Rank 4.09%,"Rank 4.09%, Score 0.0155, BULL",BULL rank exit (69.8%),BULL rank exit (69.8%),BULL,csi300
002252,上海莱士,生物制药,20250603,7.01,20250701,6.87,300,-44.7,-2.00%,28,Rank 4.43%,"Rank 4.43%, Score 0.0188, BULL",BULL rank exit (68.2%),BULL rank exit (68.2%),BULL,csi300
600026,中远海能,水运,20250618,11.18,20250701,10.49,500,-352.8,-6.19%,13,Rank 1.89%,"Rank 1.89%, Score 0.0263, BULL",BULL rank exit (43.7%),BULL rank exit (43.7%),BULL,csi300
601059,信达证券,证券,20250612,16.35,20250703,16.84,100,46.9,3.00%,21,Rank 4.40%,"Rank 4.40%, Score 0.0131, BULL",BULL rank exit (56.6%),BULL rank exit (56.6%),BULL,csi300
000063,中兴通讯,通信设备,20250623,31.74,20250703,33.34,100,155.8,5.04%,10,Rank 1.89%,"Rank 1.89%, Score 0.0226, BULL",BULL rank exit (82.1%),BULL rank exit (82.1%),BULL,csi300
000963,华东医药,化学制药,20250606,43.65,20250708,39.74,100,-396.2,-8.96%,32,Rank 3.16%,"Rank 3.16%, Score 0.0146, BULL",BULL Hard stop (-9.0%),BULL Hard stop (-9.0%),BULL,csi300
603659,璞泰来,化工原料,20250616,16.44,20250708,18.84,300,714.0,14.63%,22,Rank 4.40%,"Rank 4.40%, Score 0.0183, BULL",BULL rank exit (50.6%),BULL rank exit (50.6%),BULL,csi300
002736,国信证券,证券,20250625,12.23,20250708,12.03,500,-105.8,-1.60%,13,Rank 2.52%,"Rank 2.52%, Score 0.0184, BULL",BULL rank exit (46.2%),BULL rank exit (46.2%),BULL,csi300
001391,国货航,仓储物流,20250620,6.71,20250709,6.95,200,46.2,3.58%,19,Rank 4.72%,"Rank 4.72%, Score 0.0132, BULL",BULL rank exit (52.8%),BULL rank exit (52.8%),BULL,csi300
601872,招商轮船,水运,20250623,6.82,20250710,6.36,600,-279.5,-6.71%,17,Rank 3.14%,"Rank 3.14%, Score 0.0181, BULL",BULL rank exit (43.1%),BULL rank exit (43.1%),BULL,csi300
600039,四川路桥,建筑工程,20250701,9.93,20250710,9.09,100,-85.6,-8.49%,9,Rank 4.40%,"Rank 4.40%, Score 0.0131, BULL",BULL Hard stop (-8.5%),BULL Hard stop (-8.5%),BULL,csi300
300832,新产业,医疗保健,20250617,58.86,20250711,56.45,100,-248.7,-4.10%,24,Rank 1.26%,"Rank 1.26%, Score 0.0293, BULL",BULL rank exit (44.3%),BULL rank exit (44.3%),BULL,csi300
601698,中国卫通,电信运营,20250703,21.16,20250714,19.77,200,-283.6,-6.58%,11,Rank 4.09%,"Rank 4.09%, Score 0.0111, BULL",BULL rank exit (80.8%),BULL rank exit (80.8%),BULL,csi300
600025,华能水电,水力发电,20250630,9.74,20250715,9.63,200,-25.0,-1.15%,15,Rank 4.09%,"Rank 4.09%, Score 0.0145, BULL",BULL rank exit (41.8%),BULL rank exit (41.8%),BULL,csi300
603806,福斯特,塑料,20250708,14.78,20250715,13.56,300,-372.8,-8.29%,7,Rank 1.57%,"Rank 1.57%, Score 0.0337, BULL",BULL Hard stop (-8.3%),BULL Hard stop (-8.3%),BULL,csi300
